sid,area,delay
0,6374.16,5332.51
1,6228.92,5012.99
2,6273.08,5125.64
3,6360.06,5239.24
4,6245.95,5019.42
5,6263.50,5187.88
6,6230.78,5051.98
7,6227.59,5160.43
8,6255.26,5144.18
9,6082.62,5099.92
10,6335.06,5257.27
11,6234.24,5233.84
12,6247.01,5210.02
13,6252.06,5217.73
14,6231.32,5158.98
15,6271.22,5139.11
16,6233.98,5244.20
17,6257.12,5186.05
18,6331.86,5100.46
19,6231.58,5141.12
20,6257.12,5254.28
21,6293.03,5161.72
22,6340.64,5064.36
23,6219.35,5276.59
24,6089.01,5114.24
25,6319.63,5093.22
26,6320.96,5243.23
27,6199.93,5128.95
28,6325.75,5276.79
29,6248.34,5156.77
30,6224.40,4991.07
31,6313.24,5245.47
32,6147.53,5148.40
33,6288.24,5091.99
34,6194.61,5020.50
35,6252.33,5181.01
36,6377.35,5226.01
37,6364.58,5337.94
38,6145.66,5099.55
39,6264.83,5163.08
40,6167.21,5078.91
41,6103.10,5089.77
42,6212.70,5126.98
43,6390.38,5249.12
44,6250.20,5268.89
45,6365.65,5210.31
46,6078.90,5027.20
47,6160.03,5124.90
48,6316.97,5076.71
49,6272.28,5203.96
50,6510.88,5189.65
51,6290.37,5267.72
52,6238.50,5165.62
53,6241.16,5182.42
54,6128.91,5070.34
55,6213.49,5192.58
56,6162.69,5159.02
57,6295.16,5211.50
58,6333.46,5090.56
59,6373.36,5251.44
60,6145.66,5076.94
61,6187.43,5218.31
62,6121.46,5040.90
63,6295.69,5206.09
64,6263.77,5241.42
65,6085.28,5061.62
66,6407.94,5096.80
67,6333.46,5236.44
68,6080.23,5080.49
69,6264.83,5216.66
70,6209.50,5121.50
71,6136.89,5152.88
72,6151.78,5064.72
73,6419.91,5226.01
74,6194.34,5084.78
75,6254.46,5238.61
76,6215.09,5023.05
77,6233.18,5121.31
78,6235.84,5201.95
79,6148.86,5203.52
80,6138.22,5125.33
81,6414.32,5229.52
82,6324.15,5201.90
83,6097.78,5098.10
84,6348.89,5330.13
85,6330.27,5285.23
86,6082.36,5111.05
87,6285.31,5248.78
88,6110.02,5101.74
89,6148.59,5151.29
90,6094.33,5114.73
91,6269.62,5200.67
92,6301.54,5065.84
93,6232.91,5256.59
94,6209.77,5150.57
95,6129.17,5143.04
96,6241.69,5222.07
97,6300.74,5254.55
98,6304.47,5103.76
99,6339.58,5170.20
100,6213.23,5167.74
101,6379.48,5100.56
102,6321.22,5214.96
103,6354.21,5115.20
104,6094.06,5113.41
105,6403.68,5385.36
106,6255.26,5165.79
107,6273.08,5156.64
108,6114.54,5015.90
109,6207.91,5217.61
110,6173.06,5126.50
111,6331.60,5238.31
112,6378.15,5400.11
113,6263.50,5144.16
114,6365.91,5236.82
115,6231.58,5135.71
116,6237.43,5137.65
117,6165.61,5124.50
118,6204.98,5126.39
119,6169.60,5095.21
120,6257.92,5212.88
121,6472.58,5344.08
122,6361.39,5268.75
123,6370.43,5203.75
124,6127.04,5188.73
125,6410.07,5272.83
126,6147.79,5152.44
127,6142.74,5150.11
128,6166.41,5096.34
129,6227.06,5129.09
130,6303.14,5247.27
131,6232.91,5240.55
132,6233.44,5108.64
133,6203.92,5133.48
134,6257.12,5238.11
135,6221.74,5198.50
136,6140.61,5127.09
137,6217.48,5269.51
138,6178.12,5070.45
139,6297.55,5111.78
140,6460.61,5015.69
141,6295.42,5203.74
142,6289.57,5243.71
143,6362.99,5206.44
144,6457.42,5116.79
145,6313.51,5289.55
146,6271.75,5114.38
147,6359.53,5327.97
148,6294.36,5256.64
149,6221.21,5161.72
150,6187.69,5208.84
151,6111.35,5148.03
152,6289.84,5263.04
153,6149.39,5083.28
154,6237.17,5219.51
155,6232.11,5181.74
156,6397.57,5148.90
157,6256.59,5194.26
158,6332.93,5183.84
159,6336.65,5282.41
160,6347.56,5152.68
161,6377.62,5305.50
162,6342.50,5019.68
163,6394.11,5225.25
164,6232.38,5047.81
165,6119.86,5153.81
166,6087.14,5092.50
167,6166.15,5220.83
168,6309.52,5223.60
169,6039.26,5061.79
170,6278.40,5132.98
171,6241.69,5125.99
172,6307.39,5073.69
173,6169.60,5148.97
174,6257.65,5004.88
175,6189.82,5083.65
176,6052.03,5035.13
177,6226.53,5147.75
178,6301.81,5081.87
179,6256.32,5190.76
180,6229.19,5233.50
181,6257.92,5207.11
182,6112.95,5104.34
183,6380.28,5328.34
184,6119.06,5094.56
185,6381.87,5341.58
186,6333.19,5162.74
187,6137.42,5060.49
188,6352.35,5283.96
189,6271.75,5079.35
190,6131.83,5119.36
191,6224.67,5238.04
192,6281.06,5221.38
193,6036.87,5069.79
194,6301.01,5206.61
195,6161.62,5101.04
196,6147.53,5112.97
197,6266.16,5221.39
198,6235.84,5212.84
199,6265.10,5207.17
200,6353.14,5192.79
201,6342.24,5307.86
202,6167.74,5205.85
203,6175.46,5124.98
204,6095.12,5098.01
205,6233.71,5195.18
206,6201.52,5159.50
207,6221.47,5145.72
208,6416.72,5128.26
209,6126.51,5084.38
210,6364.05,5121.81
211,6253.39,5187.71
212,6249.67,5138.61
213,6268.02,5153.53
214,6297.82,5274.17
215,6103.90,5111.88
216,6224.67,5181.51
217,6239.83,5118.46
218,6261.11,5197.26
219,6215.62,5205.81
220,6269.89,5135.15
221,6186.36,5126.73
222,6160.83,5108.79
223,6303.14,5129.74
224,6472.05,5313.58
225,6208.71,5147.66
226,6231.05,5085.72
227,6208.97,5093.57
228,6205.51,5147.54
229,6360.59,5191.79
230,6165.35,5112.20
231,6197.00,5143.96
232,6197.80,5169.54
233,6290.90,5257.52
234,6219.61,5183.91
235,6340.91,5177.33
236,6132.63,5092.35
237,6215.09,5160.84
238,6313.51,5204.29
239,6157.10,5124.04
240,6163.49,5122.24
241,6266.96,5169.22
242,6231.32,5238.80
243,6265.63,5281.89
244,6336.92,5277.25
245,6195.14,5116.22
246,6429.22,5118.65
247,6418.58,5178.02
248,6236.37,5235.46
249,6283.45,5013.97
250,6166.41,5203.19
251,6259.51,5171.26
252,6177.32,5072.86
253,6298.08,5220.21
254,6253.93,5214.09
255,6273.08,5207.42
256,6311.38,5259.31
257,6125.45,5058.16
258,6342.24,5254.83
259,6274.14,5154.79
260,6409.00,5282.91
261,6202.06,5238.78
262,6383.20,5333.39
263,6266.43,5119.27
264,6276.27,5303.04
265,6262.97,5132.22
266,6062.14,5063.93
267,6170.14,5146.83
268,6445.98,5138.67
269,6155.51,5111.49
270,6327.34,5281.77
271,6143.00,5201.47
272,6239.56,5090.68
273,6073.31,5037.41
274,6139.55,5107.05
275,6260.58,5177.40
276,6287.44,5209.89
277,6287.18,5323.56
278,6214.29,5110.86
279,6175.19,5138.26
280,6212.16,5204.84
281,6147.79,5125.70
282,6193.28,5046.40
283,6264.83,5222.16
284,6165.08,5215.63
285,6349.69,5253.29
286,6141.14,5111.76
287,6310.05,5180.71
288,6291.96,5175.82
289,6323.35,5292.37
290,6225.46,5155.34
291,6201.79,5178.51
292,6117.73,5170.34
293,6206.05,5138.51
294,6147.26,5201.69
295,6270.42,5178.46
296,6248.87,5253.68
297,6206.31,5187.92
298,6310.85,5235.80
299,6303.14,5128.48
300,6110.02,5051.81
301,6202.85,5192.15
302,6148.06,5120.84
303,6146.73,5109.60
304,6257.38,5146.22
305,6273.08,5199.47
306,6196.74,5180.19
307,6246.74,5158.11
308,6272.55,5134.28
309,6191.42,5138.13
310,6266.43,5192.83
311,6376.55,5142.27
312,6156.30,5046.46
313,6127.84,5138.52
314,6302.87,5248.04
315,6239.03,5183.03
316,6418.85,5376.23
317,6257.12,5158.03
318,6256.59,5148.85
319,6208.44,5101.12
320,6233.71,5098.45
321,6295.69,5209.38
322,6350.22,5126.69
323,6261.64,5180.00
324,6314.04,5243.60
325,6336.65,5228.93
326,6213.76,5191.80
327,6540.94,5159.44
328,6225.73,5230.69
329,6330.53,5159.16
330,6414.06,5120.43
331,6240.89,5150.01
332,6325.48,5212.24
333,6365.91,5191.73
334,6196.47,5253.62
335,6108.42,5102.20
336,6200.19,5218.29
337,6418.85,5227.84
338,6398.36,5106.75
339,6253.93,5161.92
340,6434.54,5170.06
341,6090.87,5080.30
342,6273.34,5205.16
343,6156.57,5076.77
344,6293.03,5248.47
345,6167.48,5060.60
346,6303.40,5236.45
347,6165.08,5080.59
348,6308.99,5167.07
349,6197.53,5193.94
350,6177.32,5060.80
351,6336.12,5266.23
352,6124.38,5090.68
353,6341.44,5274.54
354,6261.91,5232.75
355,6199.93,5111.56
356,6420.44,5279.40
357,6141.94,5072.99
358,6121.19,5091.63
359,6236.90,5157.25
360,6157.90,5177.82
361,6194.87,5085.79
362,6209.24,5142.31
363,6440.66,5331.88
364,6269.09,5193.38
365,6256.85,5211.82
366,6344.37,5268.96
367,6196.47,5224.38
368,6203.39,5171.88
369,6241.96,5187.14
370,6166.94,5261.07
371,6170.40,5205.70
372,6316.17,5205.56
373,6266.16,5213.89
374,6348.62,5267.09
375,6334.79,5044.63
376,6118.00,5132.93
377,6180.24,5177.43
378,6281.59,5198.22
379,6215.62,5231.50
380,6048.31,5073.46
381,6267.23,5178.93
382,6441.19,5378.92
383,6260.58,5266.09
384,6097.52,5105.99
385,6173.86,5211.42
386,6252.33,5185.67
387,6328.67,5248.59
388,6226.00,5120.95
389,6133.69,5101.89
390,6301.27,5141.76
391,6323.35,5173.64
392,6218.28,5184.75
393,6212.96,5155.08
394,6300.74,5264.99
395,6313.24,5225.10
396,6214.56,5145.71
397,6331.60,5305.89
398,6227.06,5226.06
399,6140.61,5044.18
400,6189.82,5062.82
401,6351.02,5249.63
402,6431.35,5122.07
403,6088.74,5127.26
404,6412.73,5172.47
405,6228.39,5127.43
406,6192.21,5187.56
407,6130.50,5145.59
408,6140.88,5099.70
409,6242.75,5062.91
410,6407.14,5341.60
411,6217.75,4953.30
412,6397.03,5257.37
413,6296.22,5173.89
414,6394.11,5321.81
415,6103.90,5132.80
416,6441.72,5314.51
417,6324.95,5139.49
418,6148.86,5131.90
419,6272.55,5233.53
420,6131.03,5070.98
421,6397.57,5081.49
422,6244.08,5244.46
423,6214.03,5120.35
424,6204.98,5194.11
425,6237.97,5209.71
426,6274.14,5198.75
427,6247.54,5147.73
428,6138.48,5144.24
429,6256.59,5343.25
430,6134.23,5173.94
431,6226.53,5111.09
432,6222.80,5129.43
433,6163.75,5071.77
434,6400.76,5357.66
435,6133.43,5141.39
436,6322.82,5278.18
437,6274.67,5204.57
438,6158.43,5187.40
439,6299.15,5315.96
440,6108.16,5099.03
441,6321.49,5046.20
442,6206.05,5259.00
443,6185.56,5183.82
444,6253.66,5142.16
445,6209.50,5193.54
446,6390.65,5187.34
447,6199.40,5150.34
448,6259.51,5137.23
449,6276.80,5107.13
450,6198.86,5140.04
451,6220.14,5169.84
452,6286.64,5170.56
453,6201.79,5090.93
454,6298.88,5135.81
455,6112.95,5084.04
456,6294.89,5209.75
457,6144.33,5039.97
458,6188.49,5125.92
459,6296.22,5161.01
460,6133.69,5158.79
461,6253.66,5134.88
462,6208.97,5210.51
463,6341.71,5064.32
464,6329.74,5074.66
465,6408.21,5115.15
466,6262.17,5192.11
467,6391.18,5105.25
468,6226.26,5108.39
469,6232.38,5225.12
470,6209.50,5258.77
471,6056.55,5096.26
472,6175.72,5192.44
473,6353.94,5277.55
474,6405.55,5131.70
475,6290.10,5277.78
476,6262.70,5201.43
477,6270.15,5280.88
478,6237.70,5156.31
479,6238.76,5189.44
480,6206.05,5188.00
481,6363.52,5270.83
482,6227.06,5203.26
483,6374.16,5229.29
484,6244.62,5196.57
485,6170.14,5015.46
486,6352.35,5255.17
487,6323.09,5128.74
488,6308.72,5190.82
489,6316.70,5293.92
490,6328.67,5327.95
491,6183.97,5148.81
492,6314.31,5310.34
493,6193.28,5207.09
494,6384.80,5069.69
495,6399.43,5296.90
496,6318.30,5230.85
497,6220.68,5177.88
498,6221.74,5158.91
499,6438.53,5165.45
